Simulator Parameters:
Command line = -b 200 -fs 5 -monitor GradingMonitor -pf long.pass
RandomSeed = 1449526030229
CanNetworkBitTime = 5000 ns
Effective Can Bitrate = 199999.99999999997
Run Time = null
Real time rate = null
Acceptance Test File = long.pass
Monitors: GradingMonitor  


[Elevator] @8760.000000000: Progress indicator
[Elevator] @8820.000000000: Progress indicator
[Elevator] @8880.000000000: Progress indicator
[Elevator] @8940.000000000: Progress indicator
[Elevator] @9000.000000000: Progress indicator
[Elevator] @9060.000000000: Progress indicator
[Elevator] @9120.000000000: Progress indicator
[Elevator] @9180.000000000: Progress indicator
[Elevator] @9240.000000000: Progress indicator
[Elevator] @9300.000000000: Progress indicator
[Elevator] @9360.000000000: Progress indicator
[Elevator] @9420.000000000: Progress indicator
[Elevator] @9480.000000000: Progress indicator
[Elevator] @9540.000000000: Progress indicator
[Elevator] @9600.000000000: Progress indicator
[Elevator] @9660.000000000: Progress indicator
[Elevator] @9720.000000000: Progress indicator
[Elevator] @9780.000000000: Progress indicator
[Elevator] @9840.000000000: Progress indicator
[Elevator] @9900.000000000: Progress indicator
[Elevator] @9960.000000000: Progress indicator
[Elevator] @10020.000000000: Progress indicator
[Elevator] @10080.000000000: Progress indicator
[Elevator] @10140.000000000: Progress indicator
[Elevator] @10200.000000000: Progress indicator
[Elevator] @10260.000000000: Progress indicator
[Elevator] @10320.000000000: Progress indicator
[Elevator] @10380.000000000: Progress indicator
[Elevator] @10440.000000000: Progress indicator
[Elevator] @10500.000000000: Progress indicator
[Elevator] @10560.000000000: Progress indicator
[Elevator] @10620.000000000: Progress indicator
[Elevator] @10680.000000000: Progress indicator
[Elevator] @10740.000000000: Progress indicator
[Elevator] @10800.000000000: Progress indicator
[Elevator] @10860.000000000: Progress indicator
[Elevator] @10920.000000000: Progress indicator
[Elevator] @10980.000000000: Progress indicator
[Elevator] @11040.000000000: Progress indicator
[Elevator] @11100.000000000: Progress indicator
[Elevator] @11160.000000000: Progress indicator
[Elevator] @11220.000000000: Progress indicator
[Elevator] @11280.000000000: Progress indicator
[Elevator] @11340.000000000: Progress indicator
[Elevator] @11400.000000000: Progress indicator
[Elevator] @11460.000000000: Progress indicator
[Elevator] @11520.000000000: Progress indicator
[Elevator] @11580.000000000: Progress indicator
[Elevator] @11640.000000000: Progress indicator
[Elevator] @11700.000000000: Progress indicator
[Elevator] @11760.000000000: Progress indicator
[Elevator] @11820.000000000: Progress indicator
[Elevator] @11880.000000000: Progress indicator
[Elevator] @11940.000000000: Progress indicator
[Elevator] @12000.000000000: Progress indicator
[Elevator] @12060.000000000: Progress indicator
[Elevator] @12120.000000000: Progress indicator
[Elevator] @12180.000000000: Progress indicator
[Elevator] @12240.000000000: Progress indicator
[Elevator] @12300.000000000: Progress indicator
[Elevator] @12360.000000000: Progress indicator
[Elevator] @12420.000000000: Progress indicator
[Elevator] @12480.000000000: Progress indicator
[Elevator] @12540.000000000: Progress indicator
[Elevator] @12600.000000000: Progress indicator
[Elevator] @12660.000000000: Progress indicator
[Elevator] @12720.000000000: Progress indicator
[Elevator] @12780.000000000: Progress indicator
[Elevator] @12840.000000000: Progress indicator
[Elevator] @12900.000000000: Progress indicator
[Elevator] @12960.000000000: Progress indicator
[Elevator] @13020.000000000: Progress indicator
[Elevator] @13080.000000000: Progress indicator
[Elevator] @13140.000000000: Progress indicator
[Elevator] @13200.000000000: Progress indicator
[Elevator] @13260.000000000: Progress indicator
[Elevator] @13320.000000000: Progress indicator
[Elevator] @13380.000000000: Progress indicator
[Elevator] @13440.000000000: Progress indicator
[Elevator] @13500.000000000: Progress indicator
[Elevator] @13560.000000000: Progress indicator
[Elevator] @13620.000000000: Progress indicator
[Elevator] @13680.000000000: Progress indicator
[Elevator] @13740.000000000: Progress indicator
[Elevator] @13800.000000000: Progress indicator
[Elevator] @13860.000000000: Progress indicator
[Elevator] @13920.000000000: Progress indicator
[Elevator] @13980.000000000: Progress indicator
[Elevator] @14040.000000000: Progress indicator
[Elevator] @14100.000000000: Progress indicator
[Elevator] @14160.000000000: Progress indicator
[Elevator] @14220.000000000: Progress indicator
[Elevator] @14280.000000000: Progress indicator
[Elevator] @14340.000000000: Progress indicator
[Elevator] @14400.000000000: Progress indicator
[Elevator] @14460.000000000: Progress indicator
[Elevator] @14520.000000000: Progress indicator
[Elevator] @14580.000000000: Progress indicator
